Symbol,Name,Sector,Industry,Full Time Employees,Country,EBTIDA,Total Revenue,Market Cap,EV / Revenue,EV / EBITDA
VCNX,"Vaccinex, Inc.",Healthcare,Biotechnology,37.0,United States,-21.507,0.356,9.899721,31.37,-0.519
CYAD.BR,Celyad Oncology SA,Healthcare,Biotechnology,17.0,Belgium,-9.004,0.102,9.984292,38.982,-0.442
PRPO,"Precipio, Inc.",Healthcare,Diagnostics & Research,51.0,United States,-4.305,16.72,9.441168,0.558,-2.168
TRAW,"Traws Pharma, Inc.",Healthcare,Biotechnology,17.0,United States,-20.63,0.226,8.851424,457.244,-5.009
IKT,"Inhibikase Therapeutics, Inc.",Healthcare,Biotechnology,8.0,United States,-18.979048,0.07957,8.807601,13.49,-0.057
BTCY,"Biotricity, Inc.",Healthcare,Medical Devices,55.0,United States,-7.622677,12.244323,8.797346,2.722,-4.372
PSTV,"Plus Therapeutics, Inc.",Healthcare,Biotechnology,20.0,United States,-13.47,5.509,8.903458,0.708,-0.29
ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,16.0,United States,-8.507882,0.136396,8.621974,74.564,-1.195
XWEL,"XWELL, Inc.",Healthcare,Diagnostics & Research,266.0,United States,-10.563,32.879,8.672433,0.299,-0.929
ERNA,Eterna Therapeutics Inc.,Healthcare,Biotechnology,8.0,United States,-21.863,0.162,8.169991,338.21,-2.506
ONVO,"Organovo Holdings, Inc.",Healthcare,Biotechnology,20.0,United States,-13.994,0.073,8.327331,42.292,-0.221
SNGX,"Soligenix, Inc.",Healthcare,Biotechnology,13.0,United States,-7.772338,0.494623,8.232319,3.056,-0.195
MRAI,"Marpai, Inc.",Healthcare,Healthcare Plans,162.0,United States,-18.384098,32.01005,7.007655,1.061,-1.848
NURO,"NeuroMetrix, Inc.",Healthcare,Medical Devices,26.0,United States,-8.235133,4.383614,8.143997,-1.85,0.985
MGRX,"Mangoceuticals, Inc.",Healthcare,Health Information Services,3.0,United States,-8.505153,0.866792,8.07457,8.737,-0.89
MTEM,"Molecular Templates, Inc.",Healthcare,Biotechnology,62.0,United States,-13.865,25.47,8.624882,0.392,-0.721
CMAX,"CareMax, Inc.",Healthcare,Health Information Services,1450.0,United States,-108.327,784.550976,8.698131,0.644,-4.666
LUCY,"Innovative Eyewear, Inc.",Healthcare,Medical Instruments & Supplies,11.0,United States,-8.012543,1.529782,10.114471,2.806,-0.536
TFFP,"TFF Pharmaceuticals, Inc.",Healthcare,Biotechnology,19.0,United States,-19.006206,1.202586,7.659941,2.725,-0.172
KDLY,"Kindly MD, Inc.",Healthcare,Medical Care Facilities,23.0,United States,-1.983441,3.096801,7.552315,1.042,-1.627
PULM,"Pulmatrix, Inc.",Healthcare,Biotechnology,22.0,United States,-11.142,11.392,7.523696,-0.424,0.434
BSGM,"BioSig Technologies, Inc.",Healthcare,Medical Devices,4.0,United States,-18.382,0.04,7.297673,137.986,-0.3
ELAB,Elevai Labs Inc.,Healthcare,Biotechnology,18.0,United States,-4.782589,2.473337,7.281606,2.543,-1.315
BFRI,Biofrontera Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,83.0,United States,-18.316,35.241,7.151137,0.113,-0.217
CDIO,"Cardio Diagnostics Holdings, Inc.",Healthcare,Biotechnology,7.0,United States,-8.215199,0.039138,7.189626,154.61,-0.737
NXL,"Nexalin Technology, Inc.",Healthcare,Medical Devices,6.0,United States,-6.401655,0.150159,7.097252,40.907,-0.96
